Ticker,"Company Name","Annual Div","Div Yield"
OCFC,"OceanFirst Financial","0.68","2.8"
OZM,"Och-Ziff Capital Management Group LLC","1.30","8.1"
ODP,"Office Depot","0.10","3.5"
OPI,"Office Properties Income Trust","2.20","7.6"
OFS,"OFS Capital ","1.36","11.3"
OGE,"OGE Energy","1.46","3.4"
ONB,"Old National Bancorp","0.52","3.1"
ORI,"Old Republic International","0.80","3.8"
OLN,"Olin Corporation","0.80","3.3"
OHI,"Omega Healthcare Investors","2.64","7.1"
OMF,"OneMain Holdings","1.00","3.0"
OKE,ONEOK,"3.44","5.0"
OEC,"Orion Engineered Carbons SA","0.80","4.1"
ORIT,"Oritani Financial","1.00","6.0"
ORRF,"Orrstown Financial Services","0.60","3.1"
OTTR,"Otter Tail","1.40","2.9"
OUT,"Outfront Media","1.44","6.0"
PPBI,"Pacific Premier Bancorp","0.88","3.0"
PKG,"Packaging Corp Of America","3.16","3.1"
PACW,"PacWest Bancorp","2.40","6.0"
PGRE,"Paramount Group","0.40","2.8"
PRK,"Park National","4.04","4.3"
PEGI,"Pattern Energy Group","1.69","7.6"
PDCO,"Patterson Companies","1.04","4.7"
PAYX,Paychex,"2.24","2.8"
PBF,"PBF Energy","1.20","3.9"
PBFX,"PBF Logistics LP","2.02","9.5"
PCTI,"PC Tel","0.22","4.3"
SKIS,"Peak Resorts","0.28","6.1"
PFLT,"Pennantpark Floating Rate Capital Ltd","1.14","8.9"
PNNT,"PennantPark Investment","0.72","10.3"
PEI,"Pennsylvania R.E.I.T.","0.84","13.8"
PMT,"PennyMac Mortgage Investment Trust","1.88","8.9"
PAG,"Penske Automotive Group","1.52","3.3"
PEBO,"Peoples Bancorp","1.20","3.8"
PBCT,"People's United Financial","0.70","4.2"
PEP,PepsiCo,"3.71","3.1"
PRT,"PermRock Royalty Trust","0.50","5.8"
PFE,Pfizer,"1.44","3.4"
PM,"Philip Morris International","4.56","5.3"
PSX,"Phillips 66","3.20","3.3"
PSXP,"Phillips 66 Partners LP","3.34","6.4"
DOC,"Physicians Realty Trust","0.92","5.0"
PDM,"Piedmont Office Realty Trust","0.84","4.0"
PNW,"Pinnacle West Capital","2.95","3.2"
PBI,"Pitney Bowes","0.20","3.0"
PAA,"Plains All American Pipeline","1.44","5.9"
PAGP,"Plains GP Holdings LP","1.44","5.8"
PNC,"PNC Financial Services Group","3.80","3.0"
PNM,"PNM Resources","1.16","2.5"
PII,"Polaris Industries","2.44","2.7"
POL,PolyOne,"0.78","2.6"
POR,"Portland General Electric Company","1.45","2.8"
PTMN,"Portman Ridge Finance  ","0.40","12.7"
PCH,"Potlatchdeltic Corp","1.60","4.2"
POWL,"Powell Industries","1.04","3.6"
PPL,"PPL Corp","1.65","5.2"
PFBC,"Preferred Bank","1.20","2.5"
PFG,"Principal Financial Group","2.16","4.1"
PRA,ProAssurance,"1.24","3.5"
PG,"Procter & Gamble Co","2.87","2.8"
PLD,Prologis,"2.12","2.9"
PROV,"Provident Financial Holdings","0.56","2.8"
PFS,"Provident Financial Services","0.92","3.5"
PRU,"Prudential Financial","4.00","4.1"
PSB,"PS Business Parks","4.20","2.7"
PEG,"Public Service Enterprise Group","1.88","3.2"
PSA,"Public Storage","8.00","3.7"
QUAD,Quad/Graphics,"1.20","9.7"
QCOM,QUALCOMM,"2.48","4.3"
RYN,Rayonier,"1.08","3.4"
RC,"Ready Capital ","1.60","11.1"
O,"Realty Income Corp","2.71","3.8"
RWT,"Redwood Trust","1.20","7.5"
RF,"Regions Financial Corp","0.56","3.7"
RNST,Renasant,"0.84","2.4"
RECN,"Resources Connection","0.52","3.5"
ROIC,"Retail Opportunity Investments Corp","0.78","4.5"
RPAI,"Retail Properties of America","0.66","5.4"
RGCO,"RGC Resources","0.66","2.5"
RELL,"Richardson Electronics","0.24","3.5"
